Contract,PaymentMethod,total_customers,churned_customers,churn_rate_pct,risk_rank
Month-to-month,Electronic check,1850,994,53.73,1
Month-to-month,Bank transfer (automatic),589,201,34.13,2
Month-to-month,Credit card (automatic),543,178,32.78,3
Month-to-month,Mailed check,893,282,31.58,4
One year,Electronic check,347,64,18.44,5
One year,Credit card (automatic),398,41,10.3,6
One year,Bank transfer (automatic),391,38,9.72,7
Two year,Electronic check,168,13,7.74,8
One year,Mailed check,337,23,6.82,9
Two year,Bank transfer (automatic),564,19,3.37,10
Two year,Credit card (automatic),581,13,2.24,11
Two year,Mailed check,382,3,0.79,12
